id,session,sid,context,state,answer,stateC,answerC,appxC,Precision,Accuracy,Info lack,Misinfo,Safe,H needs,Context,S ease,H ease,Habit,Sound,Other,motive
1008,1,8,police,at 8:30,8.30 am,0,0,0,,,,,,,,,,,,0,Because it happened in the morning and I looked at the time when the accident occured.
1009,1,9,police,at 8:28,around half 8,2,10,around,x,,,,,,,x,,,,,I suppose using the traditional clock format I find it easier to round the time to the nearest number instead of saying the exact time. If I looked at a digital watch or my phone I'd more likely give an exact time saying eight twenty-eight instead.
1010,1,10,police,at 8:34,Just before twenty five to nine,4,15,just before/after,,,,,,,,,,,x,,Sounds more organic
1011,1,11,police,8:26-8:34,25 past to 25 to 8,8,9,0,,,,,,,,,,,,0,Because it was the general range it happened at.
1012,1,12,neighbor,at 8:30,08:30,0,0,0,,,,,,,,,,,,0,"it was the truth, thats what time i witnessed the accident"
1013,1,13,neighbor,at 8:32,half 8,2,0,0,,x,,,,,x,,,,,,"During an informal conversation it wasn't required to be accurate, 8:30 is close enough"
1015,1,15,neighbor,8:26-8:34,"around 8.30 am, give or take 4 minutes.",8,18,around,x,,,,,,,,,,,0,"I think it gave the general time initially , and then it was more precise about the range after that."
1016,1,16,police,at 8:30,8.30am,0,0,0,,,,,,,,,,,,0,it was in the morning
1018,1,18,police,at 8:34,around 8:35,4,15,around,x,,,,,,,,,,,0,I quickly glanced at the clock and saw the approximate time and gave it to the police.
1019,1,19,police,8:26-8:34,8:25-35,8,9,0,,,x,,x,,,,,,,,because it was safe answer and I'm not sure about hour
1020,1,20,neighbor,at 8:30,half eight,0,0,0,,,,,,,,,,,,0,Because thats the time it happened
1021,1,21,neighbor,at 8:28,8.27,2,2,0,,x,,,,,,,,,,,Because I misread the clock. I also wanted to be as accurate as possible (but obviously wasn't)
1022,1,22,neighbor,at 8:34,25 to 9,4,5,0,,,,,,,,x,,,,,easier to explain
1023,1,23,neighbor,8:26-8:34,8.30,8,0,0,,,,,,,,,,,,0,its the middle range
1024,1,24,police,at 8:30,8.30,0,0,0,,,,,,,,,,,,0,this was how I was asked to answer the question
1025,1,25,police,at 8:32,8:32,2,2,0,,,,,,,x,,,,,,"If you are a witness to something, such as an accident, it is important to know the location and time, in the event you have to talk to the police."
1026,1,26,police,at 8:34,8.34 am,4,4,0,x,,,,,,x,,,,,,"I think because it was formal. In an informal situation I might have said aroun twenty five to nine. with it being a police investigation, if I remembered the exact time I would tell them when giving a statement"
1029,1,29,neighbor,at 8:28,eight thirty in the morning,2,0,0,x,,,,,,x,,,,x,,To say 8:28 is more specific than is appropriate for a friend as it's just to share the general sense of what happens. If it was an insurance adjuster or something I would be more specific.  It would make me sound strange not to round to nearest 15 minute increment
1030,1,30,neighbor,at 8:26,8.25 ish,4,15,ish,,,,,,,,,,,,X,
1032,1,32,police,at 8:30,8.30,0,0,0,x,,,,,,,x,,,,,The most precise and easiest way to answer.
1033,1,33,police,at 8:28,8:28,2,2,0,,,,,,x,,,,,,,There's just no need to say anything more.
1034,1,34,police,at 8:26,8:25,4,5,0,,,,,,,,,,,,0,It was either 8:30 or 8:25. The accident happened at 8:26 so rounded of to the nearest decimal.
1035,1,35,police,8:26-8:34,between 8:25 and 8:35,8,9,0,,,,,,,,x,,,,,"It was easier to provide a time given in 5 minute formats, an estimation of the time."
1036,1,36,neighbor,at 8:30,half-past 8,0,0,0,,,,,,,,,,x,,,This is the way that I would normally talk if I was asked this question IRL
1037,1,37,neighbor,at 8:32,8:32am,2,2,0,x,,,,,,,,,,, ,That was the exact time the accident happened
1038,1,38,neighbor,at 8:34,8:34,4,4,0,,,,,,,,,,,,0,because the time on the left said 8:34
1039,1,39,neighbor,8:26-8:34,around eight thirty,8,10,around,,,x,,,,,,,,, ,chose the median between the times i could remember
1040,1,40,police,at 8:30,08:30,0,0,0,,x,,,,,,,,,,,It's the 24 hour clock which is the most accurate way to explain a time.
